id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
346,Bank St & Hudson St,16,27,40.73652889,-74.00618026,In Service,1,11,Bank St & Hudson St,,,,,,false,2020-02-22 10:47:10 AM,
347,Greenwich St & W Houston St,20,35,40.728846,-74.008591,In Service,1,15,Greenwich St & W Houston St,,,,,,false,2020-02-22 10:50:14 AM,
349,Rivington St & Ridge St,50,61,40.71850211,-73.98329859,In Service,1,11,Rivington St & Ridge St,,,,,,false,2020-02-22 10:48:38 AM,
350,Clinton St & Grand St,6,28,40.71559509,-73.9870295,In Service,1,22,Clinton St & Grand St,,,,,,false,2020-02-22 10:49:11 AM,
351,Front St & Maiden Ln,18,39,40.70530954,-74.00612572,In Service,1,19,Front St & Maiden Ln,,,,,,false,2020-02-22 10:48:58 AM,
353,S Portland Ave & Hanson Pl,12,27,40.68539567,-73.97431458,In Service,1,15,S Portland Ave & Hanson Pl,,,,,,false,2020-02-22 10:49:59 AM,
354,Emerson Pl & Myrtle Ave,11,23,40.69363137,-73.96223558,In Service,1,12,Emerson Pl & Myrtle Ave,,,,,,false,2020-02-22 10:48:07 AM,
355,Bayard St & Baxter St,35,43,40.71602118,-73.99974372,In Service,1,6,Bayard St & Baxter St,,,,,,false,2020-02-22 10:50:11 AM,
356,Bialystoker Pl & Delancey St,9,23,40.71622644,-73.98261206,In Service,1,14,Bialystoker Pl & Delancey St,,,,,,false,2020-02-22 10:47:11 AM,
358,Christopher St & Greenwich St,28,50,40.73291553,-74.00711384,In Service,1,18,Christopher St & Greenwich St,,,,,,false,2020-02-22 10:50:25 AM,
359,E 47 St & Park Ave,47,64,40.75510267,-73.97498696,In Service,1,16,E 47 St & Park Ave,,,,,,false,2020-02-22 10:47:54 AM,
360,William St & Pine St,28,39,40.70717936,-74.00887308,In Service,1,11,William St & Pine St,,,,,,false,2020-02-22 10:47:17 AM,
361,Allen St & Hester St,26,43,40.71605866,-73.99190759,In Service,1,16,Allen St & Hester St,,,,,,false,2020-02-22 10:49:12 AM,
362,Broadway & W 37 St,46,57,40.75172632,-73.98753523,In Service,1,9,Broadway & W 37 St,,,,,,false,2020-02-22 10:47:10 AM,
363,West Thames St,5,49,40.70834698,-74.01713445,In Service,1,44,West Thames St,,,,,,false,2020-02-22 10:46:57 AM,
364,Lafayette Ave & Classon Ave,22,27,40.68900443,-73.96023854,In Service,1,5,Lafayette Ave & Classon Ave,,,,,,false,2020-02-22 10:50:22 AM,
366,Clinton Ave & Myrtle Ave,18,33,40.693261,-73.968896,In Service,1,14,Clinton Ave & Myrtle Ave,,,,,,false,2020-02-22 10:48:54 AM,
367,E 53 St & Lexington Ave,15,34,40.75828065,-73.97069431,In Service,1,19,E 53 St & Lexington Ave,,,,,,false,2020-02-22 10:48:40 AM,
368,Carmine St & 6 Ave,17,39,40.73038599,-74.00214988,In Service,1,22,Carmine St & 6 Ave,,,,,,false,2020-02-22 10:49:25 AM,
369,Washington Pl & 6 Ave,21,60,40.73224119,-74.00026394,In Service,1,37,Washington Pl & 6 Ave,,,,,,false,2020-02-22 10:49:49 AM,
372,Franklin Ave & Myrtle Ave,25,27,40.694546087246025,-73.95801365375519,In Service,1,2,Franklin Ave & Myrtle Ave,,,,,,false,2020-02-22 10:47:03 AM,
373,Willoughby Ave & Walworth St,17,19,40.69331716,-73.95381995,In Service,1,2,Willoughby Ave & Walworth St,,,,,,false,2020-02-22 10:49:34 AM,
376,John St & William St,40,43,40.70862144,-74.00722156,In Service,1,2,John St & William St,,,,,,false,2020-02-22 10:47:03 AM,
377,6 Ave & Canal St,25,47,40.72243797,-74.00566443,In Service,1,22,6 Ave & Canal St,,,,,,false,2020-02-22 10:50:28 AM,
379,W 31 St & 7 Ave,22,42,40.749156,-73.9916,In Service,1,18,W 31 St & 7 Ave,,,,,,false,2020-02-22 10:49:38 AM,
380,W 4 St & 7 Ave S,26,42,40.73401143,-74.00293877,In Service,1,16,W 4 St & 7 Ave S,,,,,,false,2020-02-22 10:49:27 AM,
383,Greenwich Ave & Charles St,18,39,40.735238,-74.000271,In Service,1,21,Greenwich Ave & Charles St,,,,,,false,2020-02-22 10:49:27 AM,
385,E 55 St & 2 Ave,17,29,40.75797322,-73.96603308,In Service,1,11,E 55 St & 2 Ave,,,,,,false,2020-02-22 10:48:48 AM,
386,Centre St & Worth St,24,43,40.71494807,-74.00234482,In Service,1,19,Centre St & Worth St,,,,,,false,2020-02-22 10:50:26 AM,
387,Centre St & Chambers St,8,39,40.71273266,-74.0046073,In Service,1,30,Centre St & Chambers St,,,,,,false,2020-02-22 10:50:12 AM,
388,W 26 St & 10 Ave,26,35,40.749717753,-74.002950346,In Service,1,9,W 26 St & 10 Ave,,,,,,false,2020-02-22 10:50:23 AM,
389,Broadway & Berry St,20,27,40.71044554,-73.96525063,In Service,1,6,Broadway & Berry St,,,,,,false,2020-02-22 10:47:28 AM,
390,Duffield St & Willoughby St,16,31,40.69221589,-73.9842844,In Service,1,15,Duffield St & Willoughby St,,,,,,false,2020-02-22 10:49:05 AM,
391,Clark St & Henry St,14,15,40.69760127,-73.99344559,In Service,1,1,Clark St & Henry St,,,,,,false,2020-02-22 10:49:57 AM,
392,Jay St & Tech Pl,9,35,40.695065,-73.987167,In Service,1,26,Jay St & Tech Pl,,,,,,false,2020-02-22 10:50:16 AM,
393,E 5 St & Avenue C,15,37,40.72299208,-73.97995466,In Service,1,20,E 5 St & Avenue C,,,,,,false,2020-02-22 10:48:58 AM,
394,E 9 St & Avenue C,17,34,40.72521311,-73.97768752,In Service,1,17,E 9 St & Avenue C,,,,,,false,2020-02-22 10:49:53 AM,
